高清户户通
央视频道,#genre#
CCTV1,http://xgj.83mi.cn:8865/migu.php?id=cctv1
CCTV1,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv1
CCTV2,http://xgj.83mi.cn:8865/migu.php?id=cctv2

CCTV2,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv2
CCTV3,http://xgj.83mi.cn:8865/migu.php?id=cctv3
CCTV3,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv3
CCTV4,http://xgj.83mi.cn:8865/migu.php?id=cctv4
CCTV4,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv4
CCTV5,http://xgj.83mi.cn:8865/migu.php?id=cctv5
CCTV5,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv5
CCTV5+,http://zy.otioi.cn/live/migu.php?token=4zfvOqMj&id=cctv5p

CCTV5+,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv5p

CCTV6,http://xgj.83mi.cn:8865/migu.php?id=cctv6
CCTV6,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv6
CCTV7,http://xgj.83mi.cn:8865/migu.php?id=cctv7
CCTV7,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv7
CCTV8,http://xgj.83mi.cn:8865/migu.php?id=cctv8
CCTV8,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv8
CCTV9,http://xgj.83mi.cn:8865/migu.php?id=cctv9
CCTV9,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv9
CCTV10,http://xgj.83mi.cn:8865/migu.php?id=cctv10
CCTV10,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv10
CCTV11,http://xgj.83mi.cn:8865/migu.php?id=cctv11
CCTV11,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv11
CCTV12,http://xgj.83mi.cn:8865/migu.php?id=cctv12
CCTV12,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv12
CCTV13,http://xgj.83mi.cn:8865/migu.php?id=cctv13
CCTV13,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv13
轮播频道,#genre#
电影_星爷,https://www.goodiptv.club/huya/11342412
电影_英叔,https://www.goodiptv.club/huya/11342421
电影_发哥,https://www.goodiptv.club/huya/11342387
电影_成龙,https://www.goodiptv.club/huya/11342386
电影_王晶,https://www.goodiptv.club/huya/11602058
电影_沈腾,https://www.goodiptv.club/huya/11601968
电影_黄渤,https://www.goodiptv.club/huya/11352876
电影_强森,https://www.goodiptv.club/huya/21059581
电影_漫威,https://www.goodiptv.club/huya/11602034
许冠英,https://www.goodiptv.club/huya/11601972
五福星,https://www.goodiptv.club/huya/11282233
邱淑贞,https://www.goodiptv.club/huya/11352949
古天乐,https://www.goodiptv.club/huya/11602041
徐克,https://www.goodiptv.club/huya/11352909
冯小刚,https://www.goodiptv.club/huya/11352906
甄子丹,https://www.goodiptv.club/huya/11352935
电影_周星星,https://www.goodiptv.club/huya/11336587
电影_李连杰,https://www.goodiptv.club/huya/11342390
电影_洪金宝,https://www.goodiptv.club/huya/11279251
电影_梁家辉,https://www.goodiptv.club/huya/11342429
电影_刘德华,https://www.goodiptv.club/huya/11342424
电影_斯坦森,https://www.goodiptv.club/huya/21059588
电影_曾江,https://www.goodiptv.club/huya/11601981
电影_周海媚,https://www.goodiptv.club/huya/11279247
电影_宇宙,https://www.goodiptv.club/huya/11342428
电影_怪兽,https://www.goodiptv.club/huya/21059577
电影_武侠,https://www.goodiptv.club/huya/11342427
电影_警匪,https://www.goodiptv.club/huya/11352886
电影_罪犯,https://www.goodiptv.club/huya/11352962
电影_枪战,https://www.goodiptv.club/huya/21059579
电影_海盗,https://www.goodiptv.club/huya/21059595
电影_推荐,https://www.goodiptv.club/huya/11602041
电影_救援,https://www.goodiptv.club/huya/21059594
电影_热血,https://www.goodiptv.club/huya/11352934
电影_盗墓,https://www.goodiptv.club/huya/21059552
电影_贺岁,https://www.goodiptv.club/huya/11601971
电影_玄幻,https://www.goodiptv.club/huya/11342414
电影_谍战,https://www.goodiptv.club/huya/21059585
电影_战争,https://www.goodiptv.club/huya/21059592
电影_喜剧,https://www.goodiptv.club/huya/11352877
电影_港片,https://www.goodiptv.club/huya/11602043
电影_国产,https://www.goodiptv.club/huya/11352973
电影_八点档,https://www.goodiptv.club/huya/880261
电影_超异能族,https://www.goodiptv.club/huya/21059586
电影_古墓系列,https://www.goodiptv.club/huya/11352913
电影_蜘蛛侠,https://www.goodiptv.club/huya/21059599
电影_贺岁片,https://www.goodiptv.club/huya/11601986
电影_功夫片,https://www.goodiptv.club/huya/11352941
电影_黑帮片,https://www.goodiptv.club/huya/11336719
电影_丧尸片,https://www.goodiptv.club/huya//21059578
电影_灾难片,https://www.goodiptv.club/huya/11602075
电影_谍战片,https://www.goodiptv.club/huya/21059587
电影_战争片,https://www.goodiptv.club/huya/21059574
电影_犯罪片,https://www.goodiptv.club/huya/11352974
电影_古装片,https://www.goodiptv.club/huya/11336590
电影_高分动作,https://www.goodiptv.club/huya/11352884
电影_动作电影,https://www.goodiptv.club/huya/11602077
电影_搞笑喜剧,https://www.goodiptv.club/huya/11342423
电影_喜剧专场,https://www.goodiptv.club/huya/11602044
电影_欢笑影院,https://www.goodiptv.club/huya/11352894
电影_不挤影院,https://www.goodiptv.club/huya/11352897
电影_国产悬疑,https://www.goodiptv.club/huya/11342395
电影_快意江湖,https://www.goodiptv.club/huya/11342435
电影_黑帮斗争,https://www.goodiptv.club/huya/11342419
电影_嫣然影厅,https://www.goodiptv.club/huya/11601977
电影_许氏三杰,https://www.goodiptv.club/huya/11602033
电影_经典港片,https://www.goodiptv.club/huya/11352965
电影_镖行天下,https://www.goodiptv.club/huya/11352969
电影_高能反转,https://www.goodiptv.club/huya/11352887
电影_喜乐影院,https://www.goodiptv.club/huya/21059580
电影_蘑菇影厅,https://www.goodiptv.club/huya/11601981
电影_搞笑恐怖,https://www.goodiptv.club/huya/11601960
电影_死神来了,https://www.goodiptv.club/huya/11352903
电影_变形金刚,https://www.goodiptv.club/huya/21059596
电影_怪兽系列,https://www.goodiptv.club/huya/21059554
剧集_老三国,https://www.goodiptv.club/huya/11602081
剧集_新三国,https://www.goodiptv.club/huya/11352944
剧集_新水浒,https://www.goodiptv.club/huya/11342384
剧集_纪晓岚,https://www.goodiptv.club/huya/11342396
剧集_庆余年,https://www.goodiptv.club/huya/11352960
剧集_雍正王朝,https://www.goodiptv.club/huya/11342439
剧集_士兵突击,https://www.goodiptv.club/huya/11342430
剧集_爱情公寓,https://www.goodiptv.club/huya/11336726
剧集_武林外传,https://www.goodiptv.club/huya/21059598
斗鱼直播,#genre#
吃米滴虫✔原,http://124.248.69.76:35455/douyu/315457
冰冰经典✔原,http://124.248.69.76:35455/douyu/74374
星爷影院✔原,http://124.248.69.76:35455/douyu/508118
凌儿影院✔原,http://124.248.69.76:35455/douyu/1377142
瑶瑶恐怖✔原,http://124.248.69.76:35455/douyu/2935323
怡寶影院✔原,http://124.248.69.76:35455/douyu/434971
小黛兮影✔原,http://124.248.69.76:35455/douyu/11553944
萌小鬼片✔原,http://124.248.69.76:35455/douyu/3928
神乐影剧✔原,http://124.248.69.76:35455/douyu/122402
可乐影院✔原,http://124.248.69.76:35455/douyu/20415
小宇60帧✔原,http://124.248.69.76:35455/douyu/323876
恐怖惊悚✔原,http://124.248.69.76:35455/douyu/96577
電影劇場✔原,http://124.248.69.76:35455/douyu/7575350
豆瓣高分✔原,http://124.248.69.76:35455/douyu/8770422
花卷陪看✔原,http://124.248.69.76:35455/douyu/52787
漫威剧情✔原,http://124.248.69.76:35455/douyu/6140589
霍格沃茨✔原,http://124.248.69.76:35455/douyu/8814650
鱼宝恐怖✔原,http://124.248.69.76:35455/douyu/1165374
吃奶滴虫✔原,http://124.248.69.76:35455/douyu/263824
变种人片✔原,http://124.248.69.76:35455/douyu/9651304
喜剧电影✔原,http://124.248.69.76:35455/douyu/9292492
女神电影✔原,http://124.248.69.76:35455/douyu/747764
避风影院✔原,http://124.248.69.76:35455/douyu/9826611
欧美大片✔原,http://124.248.69.76:35455/douyu/2793084
贝爷max✔原,http://124.248.69.76:35455/douyu/4332
贝爷影厅 原,http://124.248.69.76:35455/douyu/252802
邵氏影院,http://124.248.69.76:35455/douyu/4246519
歪歪直播,#genre#
埋堆堆1,http://cfss.cc/cdn/hy/23749096.flv 
埋堆堆2,http://cfss.cc/cdn/hy/23735126.flv 
埋堆堆3,http://cfss.cc/cdn/hy/23865152.flv 
埋堆堆4,http://cfss.cc/cdn/hy/23903196.flv 
埋堆堆5,http://cfss.cc/cdn/hy/23740156.flv 
埋堆堆6,http://cfss.cc/cdn/hy/23728660.flv 
埋堆堆7,http://cfss.cc/cdn/hy/23865058.flv 
埋堆堆8,http://cfss.cc/cdn/hy/23734183.flv 
埋堆堆9,http://cfss.cc/cdn/hy/23865036.flv 
埋堆堆10,http://cfss.cc/cdn/hy/23734246.flv 
埋堆堆11,http://cfss.cc/cdn/hy/23863796.flv 
埋堆堆12,http://cfss.cc/cdn/hy/23749083.flv 
埋堆堆13,http://cfss.cc/cdn/hy/23824164.flv 
埋堆堆14,http://cfss.cc/cdn/hy/23863804.flv 
埋堆堆15,http://cfss.cc/cdn/hy/23865142.flv 
埋堆堆16,http://cfss.cc/cdn/hy/23903183.flv 
埋堆堆17,http://cfss.cc/cdn/hy/23903130.flv 
埋堆堆18,http://cfss.cc/cdn/hy/23734169.flv 
卫视频道,#genre#

安徽卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=ahws
东方卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=dfws
江苏卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=jsws
北京卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=bjws
深圳卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=szws
广东卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=gdws
重庆卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cqws
东南卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=dnws
广西卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=gxws
贵州卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=gzws
海南卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=hnws
河北卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=hbws
黑龙江卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=hljws
江西卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=jxws
吉林卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=jlws
辽宁卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=lnws
内蒙古卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=nmws
山东卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=sdws
兵团卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=btws
四川卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=scws
天津卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=tjws
新疆卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=xjws
西藏卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=xzws
云南卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=ynws
安徽卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=ahws
青海卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=qhws
三沙卫视,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=ssws
CIBN影院,#genre#
CIBN情感影院,http://zby.xjqxz.top/zh09/live.m3u8

CIBN动作影院,http://zby.xjqxz.top/zh04/live.m3u8

CIBN古装剧场,http://zby.xjqxz.top/gzwxj/live.m3u8

CIBN经典剧场,http://zby.xjqxz.top/gzdsj2/live.m3u8

CIBN精品影院,http://zby.xjqxz.top/zh13/live.m3u8

CIBN流金岁月,http://zby.xjqxz.top/hkdy1/live.m3u8

CIBN院线大片,http://zby.xjqxz.top/zh06/live.m3u8
香港频道,#genre#

翡翠台,mitv://147.135.39.171:9906/66430d4f000d5d62b0b20b3f5bac56f2

无线新闻台,mitv://147.135.39.171:9906/66141a3d000c7a12f94c49ad085f4fe9

无线新闻台,mitv://147.135.39.171:9906/665fe3b70003d98a2157b5c1769244d0
功夫台,mitv://135.148.104.228:19806/85398bbb5112406b95c5780d36d3a173
now新闻台,mitv://135.148.104.228:19806/86a69c6de155405ba916819e2634aa74
翡翠台,mitv://135.148.104.228:19806/2c1ef45c2c174f5c8df4d049e1cbccfd

TVB星河台,mitv://135.148.104.228:19806/afcbb73766d64754bd8d35fc330aae1c
港台电视31台,mitv://135.148.104.228:19806/c7cd517a9e5b44a9b6037c90f998627f
港台电视32台,mitv://135.148.104.228:19806/8ef4a2b7bac54aba8b17dfd2071df91f
台湾频道,#genre#

中视台,mitv://135.148.104.228:19806/695746eb4c094292a862a53216d54dac
华视台,mitv://135.148.104.228:19806/2ebe6c2c5cfd454ebdc30acc44e683d7
公视台,mitv://135.148.104.228:19806/345c7e0b5a7545cfacafed5319da0351
公视台语台,mitv://135.148.104.228:19806/2bc76898bf1043f4b7eb62fa24759e09

公视3台,mitv://135.148.104.228:19806/facf020d07f54fa8aef38a5c8b127758
中视经典台,mitv://135.148.104.228:19806/b0fa86c1552742ffb1e5b79fcc2a9f5e

中视菁采台,mitv://135.148.104.228:19806/abf4b02e6c7d408ebc9947ae5b2e11c3
中视新闻台,mitv://135.148.104.228:19806/75f4ea0339f14b62b1df49ede1723daa
民视新闻台,mitv://135.148.104.228:19806/96f9b2974a86449f9a6f881b4e23ca03
民视第一台,mitv://135.148.104.228:19806/c29c4ad3a69749f4908e9ae4cab91032
民视台湾台,mitv://135.148.104.228:19806/38f827cbd65f4fd8af9c173dc13f6cc7

东森新闻台,mitv://135.148.104.228:19806/311e31668d704df7ade8a4d5e745d49b
中天新闻台,mitv://135.148.104.228:19806/1180a44e6cef425e826c3e798f7f3ea9
民视新闻台,mitv://135.148.104.228:19806/96f9b2974a86449f9a6f881b4e23ca03
台视新闻台,mitv://135.148.104.228:19806/3e72f4e960264195b41106221611a5a7
年代新闻台,mitv://135.148.104.228:19806/f8c807d770a8429da9d058b516902907
年代新闻台,mitv://135.148.104.228:19806/cd32e0feca2244288f8a878d7aacf0fc

中天亚洲台,mitv://135.148.104.228:19806/6f522fd08aed4ee19dfb8485917faa66
中天新闻台,mitv://135.148.104.228:19806/1180a44e6cef425e826c3e798f7f3ea9
中视新闻台,mitv://135.148.104.228:19806/75f4ea0339f14b62b1df49ede1723daa
中天综合台,mitv://135.148.104.228:19806/3e0f75883e414bb98765c2eab11991be
中天娱乐台,mitv://135.148.104.228:19806/4ec900f6e5c0468db4b5f6743efa6508
中天亚洲台,mitv://135.148.104.228:19806/1279f4aaa3ea4f958ed26b14f1ffeb7e
中天娱乐台,mitv://135.148.104.228:19806/ef92e3e69b334eaca20f0e2a26bf0f31
华视新闻台,mitv://135.148.104.228:19806/ad4759ce4ff244efaa766154165e5d39
壹电视新闻台,mitv://135.148.104.228:19806/dc5cf9b6bd4a43aa973b9beea88e631b
东森亚洲台,mitv://135.148.104.228:19806/7a269b8d3db44d3993876ad9ca3bd369
壹电视新闻台,mitv://135.148.104.228:19806/dc5cf9b6bd4a43aa973b9beea88e631b
寰宇新闻台,mitv://135.148.104.228:19806/33c00ed7adda475f9afe8adbd600bd9a
台视综合台,mitv://135.148.104.228:19806/b8121a70de4c4ce1aa94361a1689297a
戏剧频道,#genre#
壹电视综合,mitv://135.148.104.228:19806/cf21d5f3323f485b81fd561e01ddb505
靖天国际台,mitv://135.148.104.228:19806/924e7a65eec84eddade5f03c3d5ebb37
靖天综合台,mitv://135.148.104.228:19806/9617767eac9b4ce792a24a442e821b13
纬来精采台,mitv://135.148.104.228:19806/28427e22e6804e4a8ebd65671e789376
